"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2242",0,"10",40,0,2013,1,"","Flint, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7275,129318,130470,131269,1307987404,575242538,30063668,772
"C2242",0,"10",40,0,2013,2,"","Flint, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7204,131093,133346,132629,1294973566,267889877,14149669,753
"C2242",0,"10",40,0,2013,3,"","Flint, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",7194,128486,129594,131201,1288142029,126994259,6000616,764
"C2242",1,"10",41,0,2013,1,"","Flint, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,1073,1079,1059,17670136,0,0,1270
"C2242",1,"10",41,0,2013,2,"","Flint, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,1069,1052,1047,16654511,0,0,1213
"C2242",1,"10",41,0,2013,3,"","Flint, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,1060,1054,1039,17984997,0,0,1316
"C2242",2,"10",41,0,2013,1,"","Flint, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22,2584,2783,2798,26223504,0,0,741
"C2242",2,"10",41,0,2013,2,"","Flint, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,2806,2560,2353,25068982,0,0,749
"C2242",2,"10",41,0,2013,3,"","Flint, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,2289,2272,2592,24736188,0,0,798
"C2242",3,"10",41,0,2013,1,"","Flint, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",145,16350,16379,16467,187678575,3740982,266555,880
"C2242",3,"10",41,0,2013,2,"","Flint, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",145,16255,16516,15483,192770715,1276139,88865,922
"C2242",3,"10",41,0,2013,3,"","Flint, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",145,13950,13724,15519,172266550,387415,26437,920
"C2242",5,"10",41,0,2013,1,"","Flint, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",7067,109311,110229,110945,1076415189,571501556,29797113,752
"C2242",5,"10",41,0,2013,2,"","Flint, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6998,110963,113218,113746,1060479358,266613738,14060804,724
"C2242",5,"10",41,0,2013,3,"","Flint, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6988,111187,112544,112051,1073154294,126606844,5974179,738
"C2242",5,"101",42,0,2013,1,"","Flint, MI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",895,15066,15234,15394,243461494,110869295,8080789,1230
