"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2254",0,"10",40,0,2013,1,"","Fond du Lac, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2328,43829,44062,44426,429273171,247743610,10705381,749
"C2254",0,"10",40,0,2013,2,"","Fond du Lac, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2337,44662,45384,45803,429931531,117097780,4945497,730
"C2254",0,"10",40,0,2013,3,"","Fond du Lac, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2341,44887,45794,45997,436136380,63335541,2801610,736
"C2254",1,"10",41,0,2013,1,"","Fond du Lac, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,199,200,200,2691222,0,0,1037
"C2254",1,"10",41,0,2013,2,"","Fond du Lac, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,198,201,199,2403119,0,0,927
"C2254",1,"10",41,0,2013,3,"","Fond du Lac, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,196,204,203,2682836,0,0,1027
"C2254",2,"10",41,0,2013,1,"","Fond du Lac, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",13,653,658,653,7296381,0,0,857
"C2254",2,"10",41,0,2013,2,"","Fond du Lac, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",13,663,664,631,8324364,0,0,981
"C2254",2,"10",41,0,2013,3,"","Fond du Lac, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",13,626,631,659,7237979,0,0,872
"C2254",3,"10",41,0,2013,1,"","Fond du Lac, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,4758,4915,4824,46348148,0,0,738
"C2254",3,"10",41,0,2013,2,"","Fond du Lac, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,4860,4822,4710,52717670,0,0,845
"C2254",3,"10",41,0,2013,3,"","Fond du Lac, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",89,4030,4442,4655,40713842,0,0,716
"C2254",5,"10",41,0,2013,1,"","Fond du Lac, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2207,38219,38289,38749,372937420,247743610,10705381,747
"C2254",5,"10",41,0,2013,2,"","Fond du Lac, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2216,38941,39697,40263,366486378,117097780,4945497,711
"C2254",5,"10",41,0,2013,3,"","Fond du Lac, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2219,40035,40517,40480,385501723,63335541,2801610,735
"C2254",5,"101",42,0,2013,1,"","Fond du Lac, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",471,13375,13289,13451,174472171,127445737,6783887,1004
"C2254",5,"101",42,0,2013,2,"","Fond du Lac, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",476,13410,13865,14211,158976707,50411801,2645234,884
"C2254",5,"101",42,0,2013,3,"","Fond du Lac, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",476,14359,14640,14485,179250942,23090283,1326760,951
"C2254",5,"1011",43,0,2013,1,"","Fond du Lac, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",76,913,916,903,7852629,6603765,233601,663
"C2254",5,"1011",43,0,2013,2,"","Fond du Lac, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",76,945,974,1008,8242674,4331985,156613,650
"C2254",5,"1011",43,0,2013,3,"","Fond du Lac, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",76,1025,1076,1124,9022371,2166690,77460,646
"C2254",5,"1012",43,0,2013,1,"","Fond du Lac, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",247,1934,1840,1879,23969467,19866880,1600829,978
"C2254",5,"1012",43,0,2013,2,"","Fond du Lac, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",249,1920,2162,2289,27668014,8305904,654923,1002
"C2254",5,"1012",43,0,2013,3,"","Fond du Lac, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",250,2324,2386,2343,32703500,5414944,440216,1070
"C2254",5,"1013",43,0,2013,1,"","Fond du Lac, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",148,10528,10533,10669,142650075,100975092,4949457,1037
"C2254",5,"1013",43,0,2013,2,"","Fond du Lac, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",151,10545,10729,10914,123066019,37773912,1833698,882
"C2254",5,"1013",43,0,2013,3,"","Fond du Lac, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",150,11010,11178,11018,137525071,15508649,809084,956
"C2254",5,"102",42,0,2013,1,"","Fond du Lac, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1736,24844,25000,25298,198465249,120297873,3921494,610
"C2254",5,"102",42,0,2013,2,"","Fond du Lac, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1740,25531,25832,26052,207509671,66685979,2300263,619
