"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C2706",0,"10",40,0,2013,1,"","Ithaca, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2532,48317,49322,49386,571165591,135179886,5753627,896
"C2706",0,"10",40,0,2013,2,"","Ithaca, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2565,50063,50839,50413,531378381,43183274,1640651,810
"C2706",0,"10",40,0,2013,3,"","Ithaca, NY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2588,48059,48707,50528,551329849,28426561,1116857,864
"C2706",1,"10",41,0,2013,1,"","Ithaca, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,295,298,295,4612607,0,0,1199
"C2706",1,"10",41,0,2013,2,"","Ithaca, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,289,294,292,4439033,0,0,1171
"C2706",1,"10",41,0,2013,3,"","Ithaca, NY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,288,292,285,4680951,0,0,1249
"C2706",2,"10",41,0,2013,1,"","Ithaca, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8,494,496,496,7571104,0,0,1176
"C2706",2,"10",41,0,2013,2,"","Ithaca, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8,526,579,668,7387455,0,0,962
"C2706",2,"10",41,0,2013,3,"","Ithaca, NY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8,772,768,621,8882050,0,0,948
"C2706",3,"10",41,0,2013,1,"","Ithaca, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,5606,5767,5803,55284595,542223,11715,743
"C2706",3,"10",41,0,2013,2,"","Ithaca, NY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",59,5689,5886,5638,68553268,80053,1799,919
