"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3078",0,"10",40,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",20907,320136,322517,324268,3350769368,1650406311,54162301,800
"C3078",0,"10",40,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",21022,325332,326456,323916,3394403585,683968384,21349847,803
"C3078",0,"10",40,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",21068,314726,319498,325017,3266916925,376211919,11794152,786
"C3078",1,"10",41,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",166,9589,9532,9500,164507463,0,0,1326
"C3078",1,"10",41,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",166,9555,9518,9522,151514499,0,0,1223
"C3078",1,"10",41,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",164,9514,9519,9501,163184639,0,0,1320
"C3078",2,"10",41,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",266,31889,32929,32996,370893581,358967,9742,875
"C3078",2,"10",41,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",266,32663,32488,31531,422519466,469495,12727,1009
"C3078",2,"10",41,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",264,31180,31484,32476,372423606,248145,6751,903
"C3078",3,"10",41,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",216,27576,27795,27949,255151436,16012125,339185,707
"C3078",3,"10",41,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",218,27921,28031,25893,311131236,8857105,187028,877
"C3078",3,"10",41,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",218,17568,21639,27026,197986805,2697346,60718,690
"C3078",5,"10",41,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20259,251082,252261,253823,2560216888,1634035219,53813374,780
"C3078",5,"10",41,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20372,255193,256419,256970,2509238384,674641784,21150092,753
"C3078",5,"10",41,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20422,256464,256856,256014,2533321875,373266428,11726683,760
"C3078",5,"101",42,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2583,35678,35620,35816,428824357,328146661,15393295,924
"C3078",5,"101",42,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2590,35908,36212,36313,422680943,103122643,4772155,900
"C3078",5,"101",42,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2592,36324,36276,36075,434737551,43112241,2003309,923
"C3078",5,"1011",43,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",232,2785,2813,2859,44343458,27482508,1032903,1210
"C3078",5,"1011",43,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",235,2877,2935,2961,40694458,7019152,274467,1070
"C3078",5,"1011",43,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",239,3016,2971,2865,44744184,4083636,181499,1166
"C3078",5,"1012",43,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1746,13137,13178,13229,131985016,110263609,6154652,770
"C3078",5,"1012",43,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1753,13314,13683,13667,143763984,47637703,2549145,816
"C3078",5,"1012",43,0,2013,3,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1753,13611,13615,13554,147983566,23054268,1210783,837
"C3078",5,"1013",43,0,2013,1,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",605,19756,19629,19728,252495883,190400544,8205740,986
"C3078",5,"1013",43,0,2013,2,"","Little Rock-North Little Rock-Conway, AR MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",602,19717,19594,19685,238222501,48465788,1948543,932
