"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3642",0,"10",40,0,2013,1,"","Oklahoma City, OK MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",36152,566705,571502,575512,6457932723,3898099232,81620877,870
"C3642",0,"10",40,0,2013,2,"","Oklahoma City, OK MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",36386,577989,582225,579858,6263471801,2357973428,50239555,831
"C3642",0,"10",40,0,2013,3,"","Oklahoma City, OK MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",36589,565460,572357,581218,6347415736,1437583670,30321611,852
"C3642",1,"10",41,0,2013,1,"","Oklahoma City, OK MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",221,27883,27818,27694,492441934,0,0,1363
"C3642",1,"10",41,0,2013,2,"","Oklahoma City, OK MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",223,27800,27693,27607,455854293,0,0,1266
"C3642",1,"10",41,0,2013,3,"","Oklahoma City, OK MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",223,27668,27492,27374,467036775,0,0,1306
"C3642",2,"10",41,0,2013,1,"","Oklahoma City, OK MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",224,36045,37667,37792,431487332,44530755,439610,893
"C3642",2,"10",41,0,2013,2,"","Oklahoma City, OK MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",223,37534,38089,36652,447602167,27946055,275447,920
"C3642",2,"10",41,0,2013,3,"","Oklahoma City, OK MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",224,35424,35553,37265,406045393,9791094,96760,866
"C3642",3,"10",41,0,2013,1,"","Oklahoma City, OK MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",475,51145,51718,51636,474863668,61146911,724062,709
"C3642",3,"10",41,0,2013,2,"","Oklahoma City, OK MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",475,52018,52410,49662,540827920,48816844,611301,810
"C3642",3,"10",41,0,2013,3,"","Oklahoma City, OK MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",475,38708,43035,50148,426624091,23565100,346249,746
"C3642",5,"10",41,0,2013,1,"","Oklahoma City, OK MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",35232,451632,454299,458390,5059139789,3792421566,80457205,856
"C3642",5,"10",41,0,2013,2,"","Oklahoma City, OK MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",35465,460637,464033,465937,4819187421,2281210529,49352807,800
"C3642",5,"10",41,0,2013,3,"","Oklahoma City, OK MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",35667,463660,466277,466431,5047709477,1404227476,29878602,834
"C3642",5,"101",42,0,2013,1,"","Oklahoma City, OK MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",6067,82952,83209,83629,1395731398,994551387,25280458,1289
