"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3886",0,"10",40,0,2013,1,"","Portland-South Portland, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",19919,242345,240639,241734,2724090861,1364682432,37336844,867
"C3886",0,"10",40,0,2013,2,"","Portland-South Portland, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",20074,247421,255640,263771,2639833095,537777484,16744848,794
"C3886",0,"10",40,0,2013,3,"","Portland-South Portland, ME MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",20179,264988,264044,259418,2704220338,353987489,11736000,791
"C3886",1,"10",41,0,2013,1,"","Portland-South Portland, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",156,7875,7923,7887,150001631,0,0,1462
"C3886",1,"10",41,0,2013,2,"","Portland-South Portland, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",158,7927,7842,7819,131265940,0,0,1284
"C3886",1,"10",41,0,2013,3,"","Portland-South Portland, ME MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",157,7809,7779,7728,148523368,0,0,1470
"C3886",2,"10",41,0,2013,1,"","Portland-South Portland, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4840,4860,4858,45768908,1049502,30740,726
"C3886",2,"10",41,0,2013,2,"","Portland-South Portland, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4868,4942,4286,46747442,517367,14493,765
"C3886",2,"10",41,0,2013,3,"","Portland-South Portland, ME MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4049,3968,4605,43704691,71453,2095,799
"C3886",3,"10",41,0,2013,1,"","Portland-South Portland, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",520,23204,22951,23269,221269190,2215191,40606,736
"C3886",3,"10",41,0,2013,2,"","Portland-South Portland, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",520,23218,23552,23734,233372925,957167,28134,764
"C3886",3,"10",41,0,2013,3,"","Portland-South Portland, ME MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",524,20021,19780,22377,210118260,798676,29736,780
"C3886",5,"10",41,0,2013,1,"","Portland-South Portland, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",19202,206426,204905,205720,2307051132,1361417739,37265498,863
"C3886",5,"10",41,0,2013,2,"","Portland-South Portland, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",19355,211408,219304,227932,2228446788,536302950,16702221,781
"C3886",5,"10",41,0,2013,3,"","Portland-South Portland, ME MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",19457,233109,232517,224708,2301874019,353117360,11704169,769
"C3886",5,"101",42,0,2013,1,"","Portland-South Portland, ME MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3029,32113,31865,32097,456464290,309450766,9542703,1096
"C3886",5,"101",42,0,2013,2,"","Portland-South Portland, ME MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3028,33054,34083,34860,428752085,82878753,3424833,970
"C3886",5,"101",42,0,2013,3,"","Portland-South Portland, ME MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3038,35053,34934,34378,446678203,44064812,1910943,988
"C3886",5,"1011",43,0,2013,1,"N","Portland-South Portland, ME MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",172,0,0,0,0,0,0,0
"C3886",5,"1011",43,0,2013,2,"N","Portland-South Portland, ME MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",170,0,0,0,0,0,0,0
"C3886",5,"1011",43,0,2013,3,"N","Portland-South Portland, ME MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",169,0,0,0,0,0,0,0
"C3886",5,"1012",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2173,10012,9919,10008,110318600,87854937,4157770,850
"C3886",5,"1012",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2176,10786,11489,11800,122619213,38750629,2012140,830
"C3886",5,"1012",43,0,2013,3,"","Portland-South Portland, ME MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2185,11744,11702,11551,128196999,21607926,1172946,845
"C3886",5,"1013",43,0,2013,1,"N","Portland-South Portland, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",684,0,0,0,0,0,0,0
"C3886",5,"1013",43,0,2013,2,"N","Portland-South Portland, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",682,0,0,0,0,0,0,0
"C3886",5,"1013",43,0,2013,3,"N","Portland-South Portland, ME MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",684,0,0,0,0,0,0,0
"C3886",5,"102",42,0,2013,1,"","Portland-South Portland, ME MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",16173,174313,173040,173623,1850586842,1051966973,27722795,820
"C3886",5,"102",42,0,2013,2,"","Portland-South Portland, ME MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",16327,178354,185221,193072,1799694703,453424197,13277388,746
"C3886",5,"102",42,0,2013,3,"","Portland-South Portland, ME MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",16419,198056,197583,190330,1855195816,309052548,9793226,731
"C3886",5,"1021",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",4174,47643,46283,46056,405593795,301235919,7624254,669
"C3886",5,"1021",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",4204,46647,48061,49928,391364763,127221821,3337894,624
"C3886",5,"1021",43,0,2013,3,"","Portland-South Portland, ME MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",4225,51273,51359,49931,413444892,81528316,2189164,625
"C3886",5,"1022",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",291,3540,3508,3523,45185046,30690651,774229,986
"C3886",5,"1022",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",294,3546,3556,3580,41244673,8089270,217227,891
"C3886",5,"1022",43,0,2013,3,"","Portland-South Portland, ME MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",292,3578,3555,3485,42032899,3210399,91889,914
"C3886",5,"1023",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1731,16524,16497,16544,335582018,165129866,3342202,1562
"C3886",5,"1023",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1738,16658,16829,17099,257809955,36140488,844088,1176
"C3886",5,"1023",43,0,2013,3,"","Portland-South Portland, ME MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1746,17245,17274,16958,250923008,14935322,378918,1125
"C3886",5,"1024",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4099,28671,29003,28866,410078468,256488146,7892489,1094
"C3886",5,"1024",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4155,29737,30140,31011,409498435,86781413,3044627,1040
"C3886",5,"1024",43,0,2013,3,"","Portland-South Portland, ME MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4181,31258,31187,30749,401352383,53427658,2057106,994
"C3886",5,"1025",43,0,2013,1,"","Portland-South Portland, ME MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",2165,46680,46909,46880,494757137,160020656,4081426,813
"C3886",5,"1025",43,0,2013,2,"","Portland-South Portland, ME MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",2166,47241,47262,47111,505793847,77126244,2052385,824
