"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C3974",0,"10",40,0,2013,1,"","Reading, PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8783,163092,162916,163729,1768325524,794824617,53885548,833
"C3974",0,"10",40,0,2013,2,"","Reading, PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8654,164824,166032,164421,1817751712,206186166,13376889,847
"C3974",0,"10",40,0,2013,3,"","Reading, PA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",8769,161737,163133,164759,1756101434,125535052,7937332,828
"C3974",1,"10",41,0,2013,1,"","Reading, PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,995,1002,961,16056493,0,0,1253
"C3974",1,"10",41,0,2013,2,"","Reading, PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,1000,961,881,13282087,0,0,1079
"C3974",1,"10",41,0,2013,3,"","Reading, PA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",70,899,899,884,14694790,0,0,1264
"C3974",2,"10",41,0,2013,1,"","Reading, PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",30,3342,3327,3319,42585141,0,0,984
"C3974",2,"10",41,0,2013,2,"","Reading, PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",30,3335,3294,3065,46212356,0,0,1100
"C3974",2,"10",41,0,2013,3,"","Reading, PA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",30,3066,3057,3294,41169362,0,0,1009
"C3974",3,"10",41,0,2013,1,"","Reading, PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",281,16773,17135,17196,175310946,1611389,76550,792
"C3974",3,"10",41,0,2013,2,"","Reading, PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",281,17171,17440,15264,197464254,653217,34355,914
"C3974",3,"10",41,0,2013,3,"","Reading, PA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",276,12826,13673,16578,157221175,482782,26704,842
"C3974",5,"10",41,0,2013,1,"","Reading, PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8402,141982,141452,142253,1534372944,793213228,53808998,832
"C3974",5,"10",41,0,2013,2,"","Reading, PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8273,143318,144337,145211,1560793015,205532949,13342534,832
"C3974",5,"10",41,0,2013,3,"","Reading, PA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",8393,144946,145504,144003,1543016107,125052270,7910628,820
"C3974",5,"101",42,0,2013,1,"","Reading, PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1452,38604,38471,38744,491334404,296379435,21998428,979
"C3974",5,"101",42,0,2013,2,"","Reading, PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1445,39136,39356,39773,535859898,45565137,3653546,1046
"C3974",5,"101",42,0,2013,3,"","Reading, PA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1468,39863,39711,39627,522248369,24955296,1894723,1011
"C3974",5,"1011",43,0,2013,1,"","Reading, PA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",105,2811,2806,2826,22088774,15869690,787681,604
"C3974",5,"1011",43,0,2013,2,"","Reading, PA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",105,2860,2894,2976,23444011,5826717,304208,620
"C3974",5,"1011",43,0,2013,3,"","Reading, PA MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",108,3001,3017,3014,24073358,2920661,143404,615
"C3974",5,"1012",43,0,2013,1,"","Reading, PA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",833,6152,5949,6144,80958063,47119238,4270926,1024
"C3974",5,"1012",43,0,2013,2,"","Reading, PA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",827,6436,6607,6709,88272638,12782262,1222513,1031
"C3974",5,"1012",43,0,2013,3,"","Reading, PA MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",842,6874,6842,6800,93540100,7706606,720518,1052
"C3974",5,"1013",43,0,2013,1,"","Reading, PA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",514,29641,29716,29774,388287567,233390507,16939821,1005
"C3974",5,"1013",43,0,2013,2,"","Reading, PA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",513,29840,29855,30088,424143249,26956158,2126825,1090
"C3974",5,"1013",43,0,2013,3,"","Reading, PA MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",518,29988,29852,29813,404634911,14328029,1030801,1042
"C3974",5,"102",42,0,2013,1,"","Reading, PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6950,103378,102981,103509,1043038540,496833793,31810570,777
"C3974",5,"102",42,0,2013,2,"","Reading, PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6828,104182,104981,105438,1024933117,159967812,9688988,752
"C3974",5,"102",42,0,2013,3,"","Reading, PA MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",6925,105083,105793,104376,1020767738,100096974,6015905,747
"C3974",5,"1021",43,0,2013,1,"","Reading, PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1863,31371,31010,31179,283157307,176840541,10965582,698
"C3974",5,"1021",43,0,2013,2,"","Reading, PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1840,31231,31346,31502,280318111,48800149,2969345,688
"C3974",5,"1021",43,0,2013,3,"","Reading, PA MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1863,31327,31393,31301,278438802,28296939,1700475,683
"C3974",5,"1022",43,0,2013,1,"","Reading, PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",75,1269,1271,1262,14446619,7794021,584111,877
"C3974",5,"1022",43,0,2013,2,"","Reading, PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",76,1226,1241,1251,15732348,1313768,84776,976
"C3974",5,"1022",43,0,2013,3,"","Reading, PA MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",74,1218,1202,1190,15243208,860885,47604,974
"C3974",5,"1023",43,0,2013,1,"","Reading, PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",654,5829,5893,5885,95253610,40100717,2704116,1248
"C3974",5,"1023",43,0,2013,2,"","Reading, PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",634,5886,5904,5975,81451710,6626111,408189,1058
"C3974",5,"1023",43,0,2013,3,"","Reading, PA MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",646,5984,5973,5875,80420236,3461714,219434,1041
"C3974",5,"1024",43,0,2013,1,"","Reading, PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1258,19123,19103,19154,280285110,134060545,9516566,1127
"C3974",5,"1024",43,0,2013,2,"","Reading, PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1231,19673,19754,19979,287375579,40728855,2797533,1116
"C3974",5,"1024",43,0,2013,3,"","Reading, PA MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1243,20139,20576,20307,261890063,27215572,1825030,990
"C3974",5,"1025",43,0,2013,1,"","Reading, PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1384,27266,27247,27288,293022944,75848225,4593836,827
"C3974",5,"1025",43,0,2013,2,"","Reading, PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1361,27320,27191,26951,278979947,24758721,1423994,790
"C3974",5,"1025",43,0,2013,3,"","Reading, PA MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1382,26802,26871,26907,302450682,14546963,854807,866
"C3974",5,"1026",43,0,2013,1,"","Reading, PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",883,13746,13702,13910,48141711,42576186,2376173,269
"C3974",5,"1026",43,0,2013,2,"","Reading, PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",858,14056,14659,14762,51102545,30046080,1633628,271
"C3974",5,"1026",43,0,2013,3,"","Reading, PA MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",872,14691,14858,13926,52648304,21271382,1142130,279
"C3974",5,"1027",43,0,2013,1,"","Reading, PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",833,4774,4755,4831,28731239,19613558,1070186,462
"C3974",5,"1027",43,0,2013,2,"","Reading, PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",828,4790,4886,5018,29972877,7694128,371523,471
"C3974",5,"1027",43,0,2013,3,"","Reading, PA MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",845,4922,4920,4870,29676443,4443519,226425,465
"C3974",5,"11",44,0,2013,1,"","Reading, PA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",94,2574,2596,2589,19597161,14313917,637875,583
"C3974",5,"11",44,0,2013,2,"","Reading, PA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",94,2614,2645,2722,20327810,5461923,266798,588
"C3974",5,"11",44,0,2013,3,"","Reading, PA MSA","Private","Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",97,2757,2775,2771,20744674,2827880,133857,577
"C3974",5,"111",45,0,2013,1,"","Reading, PA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",45,1853,1881,1875,13602039,10311061,437082,560
"C3974",5,"111",45,0,2013,2,"","Reading, PA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",45,1898,1915,1996,14172835,3872396,186927,563
"C3974",5,"111",45,0,2013,3,"","Reading, PA MSA","Private","Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",48,2022,2062,2066,14479193,2221318,103450,543
"C3974",5,"1111",46,0,2013,1,"N","Reading, PA MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0
"C3974",5,"1111",46,0,2013,2,"","Reading, PA MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,10,9,10,67586,25775,1281,538
"C3974",5,"1111",46,0,2013,3,"","Reading, PA MSA","Private","Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,10,7,63505,14661,772,489
"C3974",5,"11111",47,0,2013,1,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"11111",47,0,2013,2,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"11111",47,0,2013,3,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"111110",48,0,2013,1,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"111110",48,0,2013,2,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"111110",48,0,2013,3,"N","Reading, PA MSA","Private","Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0
"C3974",5,"11115",47,0,2013,1,"N","Reading, PA MSA","Private","Corn farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"C3974",5,"11115",47,0,2013,2,"N","Reading, PA MSA","Private","Corn farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"C3974",5,"11115",47,0,2013,3,"N","Reading, PA MSA","Private","Corn farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"C3974",5,"111150",48,0,2013,1,"N","Reading, PA MSA","Private","Corn farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
"C3974",5,"111150",48,0,2013,2,"N","Reading, PA MSA","Private","Corn farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0
