"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage"
"C4006",0,"10",40,0,2013,1,"","Richmond, VA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",35033,578121,579829,583912,7342274877,2779892443,87084768,973
"C4006",0,"10",40,0,2013,2,"","Richmond, VA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",34977,588960,591073,594319,6806032479,744094418,21278617,885
"C4006",0,"10",40,0,2013,3,"","Richmond, VA MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",35429,591526,592231,590323,6818169802,463313553,13503585,887
"C4006",1,"10",41,0,2013,1,"","Richmond, VA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",220,16626,16697,16655,297394999,0,0,1373
"C4006",1,"10",41,0,2013,2,"","Richmond, VA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",220,16757,16611,16648,280932926,0,0,1296
"C4006",1,"10",41,0,2013,3,"","Richmond, VA MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",220,16587,16564,16480,286494756,0,0,1332
"C4006",2,"10",41,0,2013,1,"","Richmond, VA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",378,38424,38438,38432,449426173,0,0,900
"C4006",2,"10",41,0,2013,2,"","Richmond, VA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",382,39374,37454,37721,434761966,0,0,876
"C4006",2,"10",41,0,2013,3,"","Richmond, VA MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",379,37414,38284,38984,480025925,0,0,966
"C4006",3,"10",41,0,2013,1,"","Richmond, VA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",362,53819,54182,54244,529147039,27960368,469276,753
"C4006",3,"10",41,0,2013,2,"","Richmond, VA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",359,54244,54605,54686,526838192,4670876,77048,743
"C4006",3,"10",41,0,2013,3,"","Richmond, VA MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",358,50455,49730,50998,523472192,2150074,32022,799
"C4006",5,"10",41,0,2013,1,"","Richmond, VA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34073,469252,470512,474581,6066306666,2751932075,86615492,990
"C4006",5,"10",41,0,2013,2,"","Richmond, VA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34016,478585,482403,485264,5563499395,739423542,21201569,888
"C4006",5,"10",41,0,2013,3,"","Richmond, VA MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34472,487070,487653,483861,5528176929,461163479,13471563,875
"C4006",5,"101",42,0,2013,1,"","Richmond, VA MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",4709,61779,62254,63014,850271808,449884601,19566948,1049
